2022플라이하이KPOP,2022.1.24,2022.1.24,30000
2022Weverse Con,2022.12.31,2022.12.31,55000
2022조용필&위대한탄생,2022.12.4,2022.12.4,70000
2022타임캡슐 슈퍼콘서트,2022.7.16,2022.7.16,50000
2022 주요공연 라인업,2022.1.19,2022.1.19,40000
SE SO NEON 2022 LIVE,2022.2.25,2022.2.27,47000
2022파워풀 대구 K-POP,2022.10.9,2022.10.9,120000
First Love 콘서트,2022.4.16,2022.4.16,53000
BTS PERPESSION TO DANCE,2022.3.10,2022.3.12,225000
 2022 SF9 LIVE FANTASY #3 IMPERFECT,2022.1.21,2022.1.23,80000
2022년 The e-끌림 콘서트,2022.1.27,2022.1.27,10000
아이유의 단독 콘서트 ‘The Golden Hour :,2022.9.17,2022.9.19,145000
2022 인문학콘서트Ⅰ-영화의 모든 것,2022.4.7,2022.4.7,10000
2022 임영웅 콘서트 [IM HERO] 앵콜,2022.12.10,2022.12.12,60000
위클래식’ 2022년 콘서트,2022.1.22,2022.1.25,50000
2022 드림콘서트,2022.6.18,2022.6.18,100000
인천 K-POP 콘서트,2022.10.1,2022.10.1,110000
2022 WINNER 콘서트,2022.4.30,2022.5.1,80000
아이유의 단독 콘서트 ‘The Golden Hour :,2022.9.17,2022.9.19,145000
2022 ICON 콘서트,2022.6.25,2022.6.26,56000
2022 장민호&이찬원 콘서트,2022.5.6,2022.5.8,98000
